cosid,rms_cdw_id,general_offense_number,offense_code,offense_code_extension,offense_type,summary_offense_code,summarized_offense_description,date_reported,occurred_date_or_date_range_start,occurred_date_range_end,hundred_block_location,district_sector,zone_beat,census_tract_2000,longitude,latitude,Relative_Date,geom
92386,768746,2016106577,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/28/2016 08:12:00 AM +0000,03/27/2016 08:00:00 PM +0000,03/28/2016 01:00:00 AM +0000,73XX BLOCK OF 29 AV SW,F,F1,10701.2020,-122.369804382,47.536453247,03/28/2016 05:00:54 AM +0000,"(47.536453247, -122.369804382)"
93091,769746,2016107059,2404,7,VEH-THEFT-TRAILER,2400,VEHICLE THEFT,03/28/2016 03:18:00 PM +0000,03/25/2016 10:00:00 PM +0000,03/26/2016 05:30:00 AM +0000,84XX BLOCK OF DALLAS AV S,F,F3,11200.2056,-122.316139221,47.527751923,03/28/2016 05:00:54 AM +0000,"(47.527751923, -122.316139221)"
94333,770665,2016107302,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/28/2016 06:49:00 PM +0000,03/26/2016 05:00:00 PM +0000,03/28/2016 08:10:00 AM +0000,15 AV / E OLIVE ST,C,C1,7900.5006,-122.312759399,47.616447449,03/28/2016 05:00:54 AM +0000,"(47.616447449, -122.312759399)"
92182,768540,2016106468,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/28/2016 05:37:00 AM +0000,03/28/2016 05:35:00 AM +0000,,25XX BLOCK OF 28 AV W,Q,Q1,5700.3007,-122.392959595,47.642753601,03/28/2016 05:00:54 AM +0000,"(47.642753601, -122.392959595)"
93089,769744,2016107081,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/28/2016 03:37:00 PM +0000,03/28/2016 09:45:00 AM +0000,03/28/2016 02:30:00 PM +0000,E OLIVE WY / HARVARD AV E,E,E1,7402.1001,-122.322212219,47.619895935,03/28/2016 05:00:54 AM +0000,"(47.619895935, -122.322212219)"
94516,770883,2016107668,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/29/2016 03:42:00 AM +0000,03/28/2016 08:00:00 PM +0000,03/29/2016 03:30:00 AM +0000,84XX BLOCK OF 6 AV SW,F,F3,11300.1021,-122.342933655,47.528270721,03/28/2016 05:00:54 AM +0000,"(47.528270721, -122.342933655)"
94513,770879,2016106827,2699,1,FRAUD-OTHER,2600,FRAUD,03/28/2016 12:38:00 PM +0000,03/23/2016 12:00:00 PM +0000,,5XX BLOCK OF NE NORTHGATE WY,L,L2,1200.3003,-122.321914673,47.708587646,03/28/2016 05:00:54 AM +0000,"(47.708587646, -122.321914673)"
94618,770986,2016107581,2304,2,THEFT-LICENSE PLATE,2300,OTHER PROPERTY,03/29/2016 02:04:00 AM +0000,03/25/2016 08:00:00 AM +0000,03/29/2016 12:32:00 AM +0000,22XX BLOCK OF 2 AV,D,D1,8001.2009,-122.345001221,47.61365509,03/28/2016 05:00:54 AM +0000,"(47.61365509, -122.345001221)"
92497,768870,2016106648,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/28/2016 09:23:00 AM +0000,03/27/2016 03:30:00 PM +0000,03/28/2016 07:00:00 AM +0000,32XX BLOCK OF SW MORGAN ST,F,F1,10702.3001,-122.374427795,47.544670105,03/28/2016 05:00:54 AM +0000,"(47.544670105, -122.374427795)"
93821,770187,2016107138,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/28/2016 07:27:00 PM +0000,03/28/2016 05:20:00 PM +0000,03/28/2016 07:27:00 PM +0000,94XX BLOCK OF 39 AV S,S,S1,11700.2030,-122.283668518,47.517791748,03/28/2016 05:00:54 AM +0000,"(47.517791748, -122.283668518)"
95195,771571,2016106963,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,03/28/2016 03:02:00 PM +0000,03/26/2016 07:00:00 AM +0000,03/28/2016 12:00:00 PM +0000,3XX BLOCK OF W NICKERSON ST,Q,Q2,5900.1029,-122.362670898,47.651233673,03/28/2016 05:00:54 AM +0000,"(47.651233673, -122.362670898)"
94620,770988,2016106748,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,03/28/2016 11:05:00 AM +0000,03/27/2016 11:15:00 PM +0000,,29XX BLOCK OF NE BLAKELEY ST,U,U3,4301.1006,-122.296150208,47.665557861,03/28/2016 05:00:54 AM +0000,"(47.665557861, -122.296150208)"
95186,771562,2016107638,1313,0,ASSLT-NONAGG,1300,ASSAULT,03/29/2016 02:19:00 AM +0000,03/29/2016 02:19:00 AM +0000,,85XX BLOCK OF AURORA AV N,N,N3,1800.2011,-122.344528198,47.690925598,03/28/2016 05:00:54 AM +0000,"(47.690925598, -122.344528198)"
95020,771395,2016106780,1316,4,THREATS-OTHER,1300,THREATS,03/28/2016 11:35:00 AM +0000,03/28/2016 11:35:00 AM +0000,,27XX BLOCK OF AIRPORT WY S,O,O2,9300.3083,-122.321395874,47.579654694,03/28/2016 05:00:54 AM +0000,"(47.579654694, -122.321395874)"
94999,771374,2016106641,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,03/28/2016 09:24:00 AM +0000,03/25/2016 08:00:00 PM +0000,,4XX BLOCK OF 26 AV E,C,C2,7700.2008,-122.298774719,47.623126984,03/28/2016 05:00:54 AM +0000,"(47.623126984, -122.298774719)"
94925,771296,2016106637,2304,2,THEFT-LICENSE PLATE,2300,OTHER PROPERTY,03/28/2016 09:08:00 AM +0000,03/26/2016 10:30:00 PM +0000,03/28/2016 08:30:00 AM +0000,19XX BLOCK OF 2 AV,M,M1,8002.1002,-122.3411026,47.611347198,03/28/2016 05:00:54 AM +0000,"(47.611347198, -122.3411026)"
